filename,line_number,message,line
R/parse_person.R,50,Variable and function name style should be camelCase.,"dAffil[, affiliation_pos := seq_len(.N), by = cols]"
R/parse_person.R,69,Variable and function name style should be camelCase.,"dAffil[, affil_idx := 1:.N]"
R/parse_person.R,74,Variable and function name style should be camelCase.,"dAffil[, affil_idx := NULL]"
R/parse_person.R,75,Variable and function name style should be camelCase.,"dAffilId[, affil_idx := NULL]"
R/parse_person.R,98,Variable and function name style should be camelCase.,"dPerson[, person_idx := 1:.N]"
R/parse_person.R,102,Variable and function name style should be camelCase.,"dPerson[, person_idx := NULL]"
R/parse_person.R,103,Variable and function name style should be camelCase.,"dAllId[, person_idx := NULL]"
R/parse_person.R,108,Variable and function name style should be camelCase.,"x10[is.na(n_affil_ids), n_affil_ids := 0]"
R/parse_person.R,109,Variable and function name style should be camelCase.,"x10[, n_person_ids := n_total_ids - n_affil_ids]"
R/parse_person.R,114,Variable and function name style should be camelCase.,"dAllId[, id_pos := seq_len(.N), by = cols]"
R/parse_person.R,116,Variable and function name style should be camelCase.,"dPersonId[, id_pos := NULL]"
R/parse_pubmed_xml.R,12,Variable and function name style should be camelCase.,status = xml_filename = parseFunc = NULL
R/parse_pubmed_xml.R,35,Variable and function name style should be camelCase.,"if (isEmpty(tableSuffix)) dPmid[, xml_filename := NULL]"
R/parse_pubmed_xml.R,61,Variable and function name style should be camelCase.,xml_filename = filenameNow = NULL
R/utilities.R,2,Variable and function name style should be camelCase.,status = xml_filename = NULL
R/utilities.R,9,Variable and function name style should be camelCase.,. = xml_filename = NULL
R/utilities.R,77,Variable and function name style should be camelCase.,. = xml_filename = step = NULL
R/utilities.R,128,Variable and function name style should be camelCase.,paste_ = function(...) {
tests/testthat/test_get_pubmed_files.R,33,Variable and function name style should be camelCase.,"fileInfo[, md5_match := as.numeric(md5_match)]"
